chr	ENSG	symbol	gene_type	gene_length
chr1	ENSG00000060642.9	PIGV	protein_coding	605
chr1	ENSG00000060656.18	PTPRU	protein_coding	4439
chr1	ENSG00000060688.11	SNRNP40	protein_coding	1587
chr1	ENSG00000060718.17	COL11A1	protein_coding	7219
chr1	ENSG00000064703.10	DDX20	protein_coding	1488
chr1	ENSG00000064886.12	CHI3L2	protein_coding	2156
chr1	ENSG00000065135.8	GNAI3	protein_coding	27165
chr1	ENSG00000065183.14	WDR3	protein_coding	1025
chr1	ENSG00000065243.17	PKN2	protein_coding	2621
chr1	ENSG00000065526.9	SPEN	protein_coding	12217
chr1	ENSG00000065600.11	TMEM206	protein_coding	2467
chr1	ENSG00000065978.16	YBX1	protein_coding	1506
chr1	ENSG00000066027.10	PPP2R5A	protein_coding	3115
chr1	ENSG00000066056.12	TIE1	protein_coding	3859
chr1	ENSG00000066135.11	KDM4A	protein_coding	4452
chr1	ENSG00000066136.18	NFYC	protein_coding	1302
chr1	ENSG00000066185.11	ZMYND12	protein_coding	1767
chr1	ENSG00000066279.15	ASPM	protein_coding	10859
chr1	ENSG00000066294.13	CD84	protein_coding	7879
chr1	ENSG00000066322.11	ELOVL1	protein_coding	1469
chr1	ENSG00000066557.5	LRRC40	protein_coding	2869
chr1	ENSG00000067208.13	EVI5	protein_coding	7385
chr1	ENSG00000067334.12	DNTTIP2	protein_coding	5890
chr1	ENSG00000067533.5	RRP15	protein_coding	7766
chr1	ENSG00000067606.14	PRKCZ	protein_coding	2308
chr1	ENSG00000067704.9	IARS2	protein_coding	3537
chr1	ENSG00000069248.11	NUP133	protein_coding	5181
chr1	ENSG00000069275.12	NUCKS1	protein_coding	6489
chr1	ENSG00000069424.13	KCNAB2	protein_coding	814
chr1	ENSG00000069702.9	TGFBR3	protein_coding	6435
chr1	ENSG00000069712.10	KIAA1107	protein_coding	4547
chr1	ENSG00000069812.10	HES2	protein_coding	1218
chr1	ENSG00000070759.15	TESK2	protein_coding	2591
chr1	ENSG00000070785.15	EIF2B3	protein_coding	1912
chr1	ENSG00000070831.14	CDC42	protein_coding	2268
chr1	ENSG00000070886.9	EPHA8	protein_coding	1797
chr1	ENSG00000072694.17	FCGR2B	protein_coding	2129
chr1	ENSG00000073754.5	CD5L	protein_coding	2185
chr1	ENSG00000073756.10	PTGS2	protein_coding	4504
chr1	ENSG00000074800.12	ENO1	protein_coding	1771
chr1	ENSG00000074964.15	ARHGEF10L	protein_coding	4459
chr1	ENSG00000075151.18	EIF4G3	protein_coding	6480
chr1	ENSG00000075391.15	RASAL2	protein_coding	4360
chr1	ENSG00000075945.11	KIFAP3	protein_coding	2937
chr1	ENSG00000076258.8	FMO4	protein_coding	534
chr1	ENSG00000076321.9	KLHL20	protein_coding	446
chr1	ENSG00000076356.6	PLXNA2	protein_coding	11412
chr1	ENSG00000076864.18	RAP1GAP	protein_coding	3557
chr1	ENSG00000077152.8	UBE2T	protein_coding	915
chr1	ENSG00000077157.19	PPP1R12B	protein_coding	15224
chr1	ENSG00000077254.13	USP33	protein_coding	4303
chr1	ENSG00000077522.11	ACTN2	protein_coding	5080
chr1	ENSG00000077549.16	CAPZB	protein_coding	2059
chr1	ENSG00000077585.12	GPR137B	protein_coding	1102
chr1	ENSG00000078369.16	GNB1	protein_coding	3134
chr1	ENSG00000078618.18	NRD1	protein_coding	1644
chr1	ENSG00000078808.15	SDF4	protein_coding	1949
chr1	ENSG00000078900.13	TP73	protein_coding	5174
chr1	ENSG00000079277.18	MKNK1	protein_coding	2600
chr1	ENSG00000079335.16	CDC14A	protein_coding	832
chr1	ENSG00000079739.14	PGM1	protein_coding	2461
chr1	ENSG00000080910.10	CFHR2	protein_coding	373
chr1	ENSG00000080947.13	CROCCP3	transcribed_unprocessed_pseudogene	5353
chr1	ENSG00000081019.12	RSBN1	protein_coding	6614
chr1	ENSG00000081026.17	MAGI3	protein_coding	3889
chr1	ENSG00000081237.17	PTPRC	protein_coding	510
chr1	ENSG00000081248.9	CACNA1S	protein_coding	5953
chr1	ENSG00000081277.10	PKP1	protein_coding	5370
chr1	ENSG00000081692.11	JMJD4	protein_coding	3747
chr1	ENSG00000081721.10	DUSP12	protein_coding	1247
chr1	ENSG00000081870.10	HSPB11	protein_coding	888
chr1	ENSG00000081985.9	IL12RB2	protein_coding	4024
chr1	ENSG00000082482.12	KCNK2	protein_coding	1655
chr1	ENSG00000082497.10	SERTAD4	protein_coding	5215
chr1	ENSG00000082512.13	TRAF5	protein_coding	4952
chr1	ENSG00000083444.15	PLOD1	protein_coding	982
chr1	ENSG00000084070.10	SMAP2	protein_coding	659
chr1	ENSG00000084072.15	PPIE	protein_coding	939
chr1	ENSG00000084073.7	ZMPSTE24	protein_coding	3098
chr1	ENSG00000084623.10	EIF3I	protein_coding	558
chr1	ENSG00000084628.8	NKAIN1	protein_coding	2582
chr1	ENSG00000084636.16	COL16A1	protein_coding	5665
chr1	ENSG00000084652.14	TXLNA	protein_coding	4843
chr1	ENSG00000085433.14	WDR47	protein_coding	4119
chr1	ENSG00000085465.12	OVGP1	protein_coding	2232
chr1	ENSG00000085491.14	SLC25A24	protein_coding	4261
chr1	ENSG00000085552.15	IGSF9	protein_coding	3554
chr1	ENSG00000085831.14	TTC39A	protein_coding	1773
chr1	ENSG00000085832.15	EPS15	protein_coding	4713
chr1	ENSG00000085840.11	ORC1	protein_coding	3140
chr1	ENSG00000085998.12	POMGNT1	protein_coding	3461
chr1	ENSG00000085999.10	RAD54L	protein_coding	711
chr1	ENSG00000086015.19	MAST2	protein_coding	635
chr1	ENSG00000086619.12	ERO1LB	protein_coding	4551
chr1	ENSG00000088035.14	ALG6	protein_coding	3356
chr1	ENSG00000088280.17	ASAP3	protein_coding	2542
chr1	ENSG00000090020.9	SLC9A1	protein_coding	3158
chr1	ENSG00000090104.10	RGS1	protein_coding	1400
chr1	ENSG00000090273.12	NUDC	protein_coding	814
chr1	ENSG00000090432.6	MUL1	protein_coding	2434
chr1	ENSG00000090621.12	PABPC4	protein_coding	631
chr1	ENSG00000090686.14	USP48	protein_coding	4283
chr1	ENSG00000091483.6	FH	protein_coding	1787
chr1	ENSG00000092607.12	TBX15	protein_coding	3484
chr1	ENSG00000092621.10	PHGDH	protein_coding	735
chr1	ENSG00000092847.9	AGO1	protein_coding	3977
chr1	ENSG00000092850.10	TEKT2	protein_coding	1499
chr1	ENSG00000092853.12	CLSPN	protein_coding	4744
chr1	ENSG00000092969.10	TGFB2	protein_coding	4962
chr1	ENSG00000092978.9	GPATCH2	protein_coding	5841
chr1	ENSG00000094963.12	FMO2	protein_coding	3842
chr1	ENSG00000094975.12	SUCO	protein_coding	5893
chr1	ENSG00000097021.18	ACOT7	protein_coding	1394
chr1	ENSG00000097033.13	SH3GLB1	protein_coding	6446
chr1	ENSG00000097046.11	CDC7	protein_coding	3161
chr1	ENSG00000097096.8	SYDE2	protein_coding	5505
chr1	ENSG00000099260.9	PALMD	protein_coding	2502
chr1	ENSG00000107404.16	DVL1	protein_coding	2911
chr1	ENSG00000116128.8	BCL9	protein_coding	6268
chr1	ENSG00000116132.10	PRRX1	protein_coding	526
chr1	ENSG00000116133.10	DHCR24	protein_coding	4241
chr1	ENSG00000116138.11	DNAJC16	protein_coding	2344
chr1	ENSG00000116141.14	MARK1	protein_coding	5303
chr1	ENSG00000116147.15	TNR	protein_coding	12926
chr1	ENSG00000116151.12	MORN1	protein_coding	1784
chr1	ENSG00000116157.5	GPX7	protein_coding	1225
chr1	ENSG00000116161.16	CACYBP	protein_coding	2829
chr1	ENSG00000116171.15	SCP2	protein_coding	2795
chr1	ENSG00000116183.9	PAPPA2	protein_coding	4364
chr1	ENSG00000116191.16	RALGPS2	protein_coding	7493
chr1	ENSG00000116194.11	ANGPTL1	protein_coding	3342
chr1	ENSG00000116198.11	CEP104	protein_coding	6402
chr1	ENSG00000116199.10	FAM20B	protein_coding	600
chr1	ENSG00000116205.9	TCEANC2	protein_coding	2533
chr1	ENSG00000116209.10	TMEM59	protein_coding	6683
chr1	ENSG00000116212.13	LRRC42	protein_coding	2028
chr1	ENSG00000116213.14	WRAP73	protein_coding	1987
chr1	ENSG00000116218.11	NPHS2	protein_coding	1847
chr1	ENSG00000116221.14	MRPL37	protein_coding	743
chr1	ENSG00000116237.14	ICMT	protein_coding	4766
chr1	ENSG00000116251.8	RPL22	protein_coding	446
chr1	ENSG00000116254.16	CHD5	protein_coding	9604
chr1	ENSG00000116260.15	QSOX1	protein_coding	9299
chr1	ENSG00000116266.9	STXBP3	protein_coding	557
chr1	ENSG00000116273.5	PHF13	protein_coding	3677
chr1	ENSG00000116285.11	ERRFI1	protein_coding	476
chr1	ENSG00000116288.11	PARK7	protein_coding	617
chr1	ENSG00000116299.15	KIAA1324	protein_coding	561
chr1	ENSG00000116329.9	OPRD1	protein_coding	9342
chr1	ENSG00000116337.14	AMPD2	protein_coding	567
chr1	ENSG00000116350.14	SRSF4	protein_coding	2381
chr1	ENSG00000116353.14	MECR	protein_coding	2406
chr1	ENSG00000116396.12	KCNC4	protein_coding	1953
chr1	ENSG00000116406.17	EDEM3	protein_coding	6878
chr1	ENSG00000116455.12	WDR77	protein_coding	2566
chr1	ENSG00000116459.9	ATP5F1	protein_coding	711
chr1	ENSG00000116473.13	RAP1A	protein_coding	1578
chr1	ENSG00000116478.10	HDAC1	protein_coding	2110
chr1	ENSG00000116489.11	CAPZA1	protein_coding	3010
chr1	ENSG00000116497.16	S100PBP	protein_coding	722
chr1	ENSG00000116514.15	RNF19B	protein_coding	2551
chr1	ENSG00000116521.9	SCAMP3	protein_coding	646
chr1	ENSG00000116525.12	TRIM62	protein_coding	3432
chr1	ENSG00000116539.9	ASH1L	protein_coding	11914
chr1	ENSG00000116544.10	DLGAP3	protein_coding	3844
chr1	ENSG00000116560.9	SFPQ	protein_coding	438
chr1	ENSG00000116574.5	RHOU	protein_coding	4369
chr1	ENSG00000116580.17	GON4L	protein_coding	7739
chr1	ENSG00000116584.16	ARHGEF2	protein_coding	4058
chr1	ENSG00000116586.10	LAMTOR2	protein_coding	651
chr1	ENSG00000116604.16	MEF2D	protein_coding	5588
chr1	ENSG00000116641.14	DOCK7	protein_coding	7131
chr1	ENSG00000116649.8	SRM	protein_coding	543
chr1	ENSG00000116652.6	DLEU2L	sense_intronic	3554
chr1	ENSG00000116661.9	FBXO2	protein_coding	1554
chr1	ENSG00000116663.9	FBXO6	protein_coding	1514
chr1	ENSG00000116667.11	C1orf21	protein_coding	10259
chr1	ENSG00000116668.11	SWT1	protein_coding	2982
chr1	ENSG00000116670.13	MAD2L2	protein_coding	1849
chr1	ENSG00000116675.14	DNAJC6	protein_coding	541
chr1	ENSG00000116678.17	LEPR	protein_coding	3059
chr1	ENSG00000116679.14	IVNS1ABP	protein_coding	3768
chr1	ENSG00000116685.14	KIAA2013	protein_coding	2812
chr1	ENSG00000116688.15	MFN2	protein_coding	4513
chr1	ENSG00000116690.10	PRG4	protein_coding	526
chr1	ENSG00000116691.9	MIIP	protein_coding	1563
chr1	ENSG00000116698.19	SMG7	protein_coding	1182
chr1	ENSG00000116701.13	NCF2	protein_coding	2187
chr1	ENSG00000116703.13	PDC	protein_coding	1238
chr1	ENSG00000116704.7	SLC35D1	protein_coding	6150
chr1	ENSG00000116711.9	PLA2G4A	protein_coding	2857
chr1	ENSG00000116717.10	GADD45A	protein_coding	1492
chr1	ENSG00000116721.9	PRAMEF1	protein_coding	2156
chr1	ENSG00000116726.4	PRAMEF12	protein_coding	1783
chr1	ENSG00000116729.12	WLS	protein_coding	2025
chr1	ENSG00000116731.21	PRDM2	protein_coding	622
chr1	ENSG00000116741.7	RGS2	protein_coding	875
chr1	ENSG00000116745.6	RPE65	protein_coding	2596
chr1	ENSG00000116747.11	TROVE2	protein_coding	2134
chr1	ENSG00000116748.18	AMPD1	protein_coding	2359
chr1	ENSG00000116750.12	UCHL5	protein_coding	5316
chr1	ENSG00000116752.5	BCAS2	protein_coding	1292
chr1	ENSG00000116754.12	SRSF11	protein_coding	2372
chr1	ENSG00000116761.10	CTH	protein_coding	2033
chr1	ENSG00000116771.5	AGMAT	protein_coding	2493
chr1	ENSG00000116774.10	OLFML3	protein_coding	1958
chr1	ENSG00000116783.13	TNNI3K	protein_coding	2976
chr1	ENSG00000116785.12	CFHR3	protein_coding	1639
chr1	ENSG00000116786.10	PLEKHM2	protein_coding	4102
chr1	ENSG00000116791.12	CRYZ	protein_coding	1585
chr1	ENSG00000116793.14	PHTF1	protein_coding	4302
chr1	ENSG00000116809.10	ZBTB17	protein_coding	774
chr1	ENSG00000116815.14	CD58	protein_coding	1092
chr1	ENSG00000116819.6	TFAP2E	protein_coding	2182
chr1	ENSG00000116824.4	CD2	protein_coding	1604
chr1	ENSG00000116830.10	TTF2	protein_coding	9439
chr1	ENSG00000116833.12	NR5A2	protein_coding	5078
chr1	ENSG00000116852.13	KIF21B	protein_coding	9863
chr1	ENSG00000116857.15	TMEM9	protein_coding	1523
chr1	ENSG00000116863.10	ADPRHL2	protein_coding	1662
chr1	ENSG00000116871.14	MAP7D1	protein_coding	953
chr1	ENSG00000116874.10	WARS2	protein_coding	2805
chr1	ENSG00000116882.13	HAO2	protein_coding	686
chr1	ENSG00000116883.8	RP11-268J15.5	antisense	1836
chr1	ENSG00000116885.17	OSCP1	protein_coding	501
chr1	ENSG00000116898.10	MRPS15	protein_coding	998
chr1	ENSG00000116903.7	EXOC8	protein_coding	5099
chr1	ENSG00000116906.10	GNPAT	protein_coding	833
chr1	ENSG00000116918.12	TSNAX	protein_coding	2644
chr1	ENSG00000116922.13	C1orf109	protein_coding	2350
chr1	ENSG00000116954.7	RRAGC	protein_coding	2725
chr1	ENSG00000116957.11	TBCE	protein_coding	1949
chr1	ENSG00000116962.13	NID1	protein_coding	5395
chr1	ENSG00000116977.17	LGALS8	protein_coding	794
chr1	ENSG00000116981.3	NT5C1A	protein_coding	1101
chr1	ENSG00000116983.11	HPCAL4	protein_coding	4852
chr1	ENSG00000116984.11	MTR	protein_coding	10373
chr1	ENSG00000116985.9	BMP8B	protein_coding	4815
chr1	ENSG00000116990.10	MYCL	protein_coding	3253
chr1	ENSG00000116991.9	SIPA1L2	protein_coding	6668
chr1	ENSG00000116996.8	ZP4	protein_coding	2461
chr1	ENSG00000117000.8	RLF	protein_coding	6238
chr1	ENSG00000117009.10	KMO	protein_coding	1853
chr1	ENSG00000117010.14	ZNF684	protein_coding	2092
chr1	ENSG00000117013.13	KCNQ4	protein_coding	4085
chr1	ENSG00000117016.8	RIMS3	protein_coding	7227
chr1	ENSG00000117020.15	AKT3	protein_coding	1674
chr1	ENSG00000117036.10	ETV3	protein_coding	5249
chr1	ENSG00000117054.12	ACADM	protein_coding	2524
chr1	ENSG00000117069.13	ST6GALNAC5	protein_coding	3746
chr1	ENSG00000117090.13	SLAMF1	protein_coding	3999
chr1	ENSG00000117091.8	CD48	protein_coding	1122
chr1	ENSG00000117114.18	LPHN2	protein_coding	822
chr1	ENSG00000117115.11	PADI2	protein_coding	4329
chr1	ENSG00000117118.8	SDHB	protein_coding	1145
chr1	ENSG00000117122.12	MFAP2	protein_coding	962
chr1	ENSG00000117133.9	RPF1	protein_coding	721
chr1	ENSG00000117139.15	KDM5B	protein_coding	10318
chr1	ENSG00000117143.12	UAP1	protein_coding	2366
chr1	ENSG00000117148.7	ACTL8	protein_coding	1858
chr1	ENSG00000117151.11	CTBS	protein_coding	6593
chr1	ENSG00000117152.12	RGS4	protein_coding	3305
chr1	ENSG00000117153.14	KLHL12	protein_coding	3347
chr1	ENSG00000117154.10	IGSF21	protein_coding	1933
chr1	ENSG00000117155.15	SSX2IP	protein_coding	5821
chr1	ENSG00000117174.9	ZNHIT6	protein_coding	6069
chr1	ENSG00000117215.13	PLA2G2D	protein_coding	2668
chr1	ENSG00000117222.12	RBBP5	protein_coding	4390
chr1	ENSG00000117226.10	GBP3	protein_coding	3056
chr1	ENSG00000117228.9	GBP1	protein_coding	3024
chr1	ENSG00000117242.7	PINK1-AS	antisense	4440
chr1	ENSG00000117245.11	KIF17	protein_coding	392
chr1	ENSG00000117262.17	GPR89A	protein_coding	1941
chr1	ENSG00000117266.14	CDK18	protein_coding	1632
chr1	ENSG00000117280.11	RAB29	protein_coding	3266
chr1	ENSG00000117281.14	CD160	protein_coding	3385
chr1	ENSG00000117298.13	ECE1	protein_coding	5080
chr1	ENSG00000117305.13	HMGCL	protein_coding	1591
chr1	ENSG00000117308.13	GALE	protein_coding	1791
chr1	ENSG00000117318.8	ID3	protein_coding	1248
chr1	ENSG00000117322.15	CR2	protein_coding	4044
chr1	ENSG00000117335.17	CD46	protein_coding	3357
chr1	ENSG00000117360.11	PRPF3	protein_coding	2417
chr1	ENSG00000117362.11	APH1A	protein_coding	1712
chr1	ENSG00000117385.14	P3H1	protein_coding	2690
chr1	ENSG00000117394.18	SLC2A1	protein_coding	3657
chr1	ENSG00000117395.9	EBNA1BP2	protein_coding	1493
chr1	ENSG00000117399.12	CDC20	protein_coding	1664
chr1	ENSG00000117400.13	MPL	protein_coding	1938
chr1	ENSG00000117407.15	ARTN	protein_coding	1916
chr1	ENSG00000117408.9	IPO13	protein_coding	3874
chr1	ENSG00000117410.12	ATP6V0B	protein_coding	406
chr1	ENSG00000117411.15	B4GALT2	protein_coding	358
chr1	ENSG00000117419.13	ERI3	protein_coding	1096
chr1	ENSG00000117425.12	PTCH2	protein_coding	1105
chr1	ENSG00000117448.12	AKR1A1	protein_coding	1808
chr1	ENSG00000117450.12	PRDX1	protein_coding	1228
chr1	ENSG00000117461.13	PIK3R3	protein_coding	5599
chr1	ENSG00000117472.8	TSPAN1	protein_coding	1064
chr1	ENSG00000117475.12	BLZF1	protein_coding	1292
chr1	ENSG00000117477.11	CCDC181	protein_coding	1854
chr1	ENSG00000117479.11	SLC19A2	protein_coding	3665
chr1	ENSG00000117480.14	FAAH	protein_coding	2079
chr1	ENSG00000117481.9	NSUN4	protein_coding	2144
chr1	ENSG00000117500.11	TMED5	protein_coding	6100
chr1	ENSG00000117501.13	MROH9	protein_coding	3143
chr1	ENSG00000117505.11	DR1	protein_coding	10145
chr1	ENSG00000117507.4	FMO6P	protein_coding	2123
chr1	ENSG00000117519.14	CNN3	protein_coding	1895
chr1	ENSG00000117523.14	PRRC2C	protein_coding	1919
chr1	ENSG00000117525.12	F3	protein_coding	2281
chr1	ENSG00000117528.10	ABCD3	protein_coding	3515
chr1	ENSG00000117533.13	VAMP4	protein_coding	5151
chr1	ENSG00000117543.18	DPH5	protein_coding	2150
chr1	ENSG00000117560.7	FASLG	protein_coding	1884
chr1	ENSG00000117569.17	PTBP2	protein_coding	2016
chr1	ENSG00000117586.9	TNFSF4	protein_coding	3426
chr1	ENSG00000117592.8	PRDX6	protein_coding	1746
chr1	ENSG00000117593.9	DARS2	protein_coding	3489
chr1	ENSG00000117594.8	HSD11B1	protein_coding	675
chr1	ENSG00000117595.9	IRF6	protein_coding	4249
chr1	ENSG00000117597.16	DIEXF	protein_coding	8434
chr1	ENSG00000117598.10	LPPR5	protein_coding	4133
chr1	ENSG00000117600.11	LPPR4	protein_coding	5362
chr1	ENSG00000117601.12	SERPINC1	protein_coding	979
chr1	ENSG00000117602.10	RCAN3	protein_coding	2382
chr1	ENSG00000117614.8	SYF2	protein_coding	1338
chr1	ENSG00000117616.16	RSRP1	protein_coding	1497
chr1	ENSG00000117620.11	SLC35A3	protein_coding	2339
chr1	ENSG00000117625.12	RCOR3	protein_coding	558
chr1	ENSG00000117632.19	STMN1	protein_coding	1781
chr1	ENSG00000117640.16	MTFR1L	protein_coding	750
chr1	ENSG00000117643.13	MAN1C1	protein_coding	4629
chr1	ENSG00000117650.11	NEK2	protein_coding	1310
chr1	ENSG00000117676.12	RPS6KA1	protein_coding	539
chr1	ENSG00000117682.15	DHDDS	protein_coding	3329
chr1	ENSG00000117691.8	NENF	protein_coding	945
chr1	ENSG00000117697.13	NSL1	protein_coding	1339
chr1	ENSG00000117707.14	PROX1	protein_coding	898
chr1	ENSG00000117713.16	ARID1A	protein_coding	8557
chr1	ENSG00000117724.11	CENPF	protein_coding	686
chr1	ENSG00000117748.8	RPA2	protein_coding	1743
chr1	ENSG00000117751.16	PPP1R8	protein_coding	2337
chr1	ENSG00000117758.12	STX12	protein_coding	3070
chr1	ENSG00000117791.14	MARC2	protein_coding	755
chr1	ENSG00000117834.11	SLC5A9	protein_coding	1937
chr1	ENSG00000117859.17	OSBPL9	protein_coding	3326
chr1	ENSG00000117862.10	TXNDC12	protein_coding	443
chr1	ENSG00000118193.10	KIF14	protein_coding	6809
chr1	ENSG00000118194.17	TNNT2	protein_coding	510
chr1	ENSG00000118197.12	DDX59	protein_coding	2892
chr1	ENSG00000118200.13	CAMSAP2	protein_coding	7335
chr1	ENSG00000118217.5	ATF6	protein_coding	7480
chr1	ENSG00000118292.7	C1orf54	protein_coding	1243
chr1	ENSG00000118298.9	CA14	protein_coding	2392
chr1	ENSG00000118454.11	ANKRD13C	protein_coding	4056
chr1	ENSG00000118473.20	SGIP1	protein_coding	3970
chr1	ENSG00000118655.4	DCLRE1B	protein_coding	3936
chr1	ENSG00000118729.11	CASQ2	protein_coding	2663
chr1	ENSG00000118733.15	OLFM3	protein_coding	3249
chr1	ENSG00000118873.14	RAB3GAP2	protein_coding	7222
chr1	ENSG00000119280.15	C1orf198	protein_coding	3854
chr1	ENSG00000119283.14	TRIM67	protein_coding	9310
chr1	ENSG00000119285.9	HEATR1	protein_coding	8402
chr1	ENSG00000119535.16	CSF3R	protein_coding	3356
chr1	ENSG00000120332.14	TNN	protein_coding	4989
chr1	ENSG00000120333.4	MRPS14	protein_coding	536
chr1	ENSG00000120334.14	CENPL	protein_coding	2350
chr1	ENSG00000120337.8	TNFSF18	protein_coding	2005
chr1	ENSG00000120341.17	SEC16B	protein_coding	808
chr1	ENSG00000120370.11	GORAB	protein_coding	2184
chr1	ENSG00000120656.10	TAF12	protein_coding	839
chr1	ENSG00000120937.8	NPPB	protein_coding	691
chr1	ENSG00000120942.12	UBIAD1	protein_coding	3644
chr1	ENSG00000120948.14	TARDBP	protein_coding	696
chr1	ENSG00000120949.13	TNFRSF8	protein_coding	3671
chr1	ENSG00000120952.4	PRAMEF2	protein_coding	1638
chr1	ENSG00000121310.15	ECHDC2	protein_coding	1438
chr1	ENSG00000121446.16	RGSL1	protein_coding	582
chr1	ENSG00000121454.5	LHX4	protein_coding	5814
chr1	ENSG00000121481.9	RNF2	protein_coding	3599
chr1	ENSG00000121486.10	TRMT1L	protein_coding	4377
